City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Hermanus,0,ZA,2021-03-21 17:41:58,73,-34.4187,19.2345,64.99,1.99
67,Kupang,100,ID,2021-03-21 17:49:59,84,-10.1667,123.5833,79.84,10.58
68,Hamilton,1,US,2021-03-21 17:42:39,25,39.1834,-84.5333,64.0,3.44
69,Gushikawa,90,JP,2021-03-21 17:50:00,63,26.3544,127.8686,62.6,19.57
70,Burley,75,US,2021-03-21 17:46:16,60,42.5357,-113.7928,39.2,10.36
71,Acapulco,40,MX,2021-03-21 17:42:53,65,16.8634,-99.8901,84.2,6.91
72,Tabou,39,CI,2021-03-21 17:43:48,84,4.423,-7.3528,81.07,10.56
73,Rincon,90,US,2021-03-21 17:50:00,87,32.296,-81.2354,51.8,18.41
74,Clyde River,1,CA,2021-03-21 17:43:41,77,70.4692,-68.5914,-11.2,16.11
75,Sindor,98,RU,2021-03-21 17:50:01,92,62.8629,51.8905,17.71,8.41
76,La Peca,93,PE,2021-03-21 17:48:19,76,-5.6111,-78.435,75.4,4.29
77,San Luis,0,AR,2021-03-21 17:42:53,22,-33.295,-66.3356,74.66,6.67
78,Leningradskiy,100,RU,2021-03-21 17:43:17,97,69.3833,178.4167,-11.18,9.17
79,Mount Gambier,90,AU,2021-03-21 17:42:13,94,-37.8333,140.7667,64.4,5.75
80,Nainpur,6,IN,2021-03-21 17:50:01,27,22.4333,80.1167,76.3,1.61
81,Cape Town,0,ZA,2021-03-21 17:42:08,56,-33.9258,18.4232,70.0,24.16
82,Laguna,1,US,2021-03-21 17:46:03,58,38.421,-121.4238,55.99,14.97
83,Ahipara,13,NZ,2021-03-21 17:42:39,85,-35.1667,173.1667,55.98,4.56
84,Jamestown,1,US,2021-03-21 17:37:32,21,42.097,-79.2353,61.0,7.45
85,Mayya,40,RU,2021-03-21 17:50:02,65,61.7333,130.2811,-5.8,6.71
86,Morrope,0,PE,2021-03-21 17:50:02,61,-6.5417,-80.0111,88.0,17.27
87,Asau,45,RO,2021-03-21 17:44:03,46,46.4333,26.4,36.0,4.16
88,Rio Gallegos,0,AR,2021-03-21 17:43:09,34,-51.6226,-69.2181,64.4,13.8
89,Butaritari,85,KI,2021-03-21 17:42:06,76,3.0707,172.7902,81.75,16.04
90,Busselton,79,AU,2021-03-21 17:50:03,93,-33.65,115.3333,64.99,1.01
91,Virginia Beach,40,US,2021-03-21 17:49:36,58,36.8529,-75.978,57.2,18.41
